Transaction_unique_identifier,Price,Date_of_Transfer,Postcode,Property_Type,Old_New,Duration,PAON,SAON,Street,Locality,Town_City,District,County,PPD_Category_Type,Record_Status,count
{568DE11A-432B-4DA3-B9A4-83B4EC4BD127},121250,1995-05-19 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 20,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{548C8A08-6622-4BE1-83A4-F165392AF449},124950,1995-05-26 00:00,N12 7DP,F,N,L,"WOODSIDE GRANGE, 77",FLAT 3,HOLDEN ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{F22ECAC4-7C4B-4E3F-A0E0-FC1CB324F385},186000,1995-02-21 00:00,N12 8SP,F,Y,L,FALCON COURT,FLAT D,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{DC820EFA-6A43-4915-BE24-F1A18A97D77A},136000,1995-03-03 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 13,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{97CDD6FB-F847-499E-9B3C-8B397244AD7E},56000,1995-04-10 00:00,N12 9HZ,F,N,L,ST ELIZABETHS COURT,FLAT 8,MAYFIELD AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{028B71E2-073E-4AE0-9C55-B19C59811F3B},68000,1995-10-02 00:00,N12 8DB,F,N,L,9,PART OF,PART OF,COLLEGE HILL,LONDON,BARNET,GREATER LONDON,A,A,2
{F9AECCE5-875A-49B5-AE2D-70DDED21E02D},125000,1995-02-23 00:00,N12 8LS,F,Y,L,"DEVONSHIRE HOUSE, 45",FLAT 11,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{33369937-F370-4FE6-A091-7806DF0380C1},87000,1995-02-23 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 8,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{0F1F928D-FA65-4EDE-9CE3-B56C6F9993D5},138000,1995-01-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 6,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{A52DA487-211F-4B9F-A4F2-9D8661E09550},102000,1995-04-05 00:00,N12 7EJ,F,N,L,"TUDOR LODGE, 49",FLAT 5,HOLDEN ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,6
{BA1DB791-84FA-4258-96D0-9C7982FA12E1},95000,1995-01-17 00:00,N12 8LR,F,N,L,CAVENDISH HOUSE,FLAT 5,WOODSIDE GRANGE ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{7A086AEC-EA22-407B-ABE0-C3462E0EEDC9},64000,1995-10-31 00:00,N12 8RF,F,N,L,BEECHOLME,FLAT 12,WOODSIDE PARK ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,4
{48117DDC-DA41-442D-B603-B47E2EECC661},65000,1995-09-15 00:00,N12 9LW,F,N,L,HERMISTON COURT,FLAT 8,FRIERN PARK,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{6E3F4350-8940-45BC-9086-B48045880BE6},116000,1995-08-31 00:00,N12 8LS,F,N,L,"DEVONSHIRE HOUSE, 45",FLAT 11,WOODSIDE AVENUE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{B23B5F9D-3A1B-49A5-BDC9-EACC2639CE80},65995,1995-02-02 00:00,N12 8DW,F,Y,L,"VINE LODGE, 15",FLAT 3,HUTTON GROVE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{48E45FCF-320B-4C50-98B7-E3E41B2C04F7},56000,1995-10-20 00:00,N12 8RT,F,N,L,37,FLAT 4,WOODSIDE PARK ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
{E1BF1C9F-B008-49A0-8697-E3F550A176C0},72000,1995-03-15 00:00,N12 0EW,F,N,L,KINGS LODGE,FLAT 24,KINGSWAY,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{EF8DF13A-30E3-4BE2-A4CE-A8E84F69CA39},117000,1995-03-31 00:00,N12 7ED,F,N,L,SYLVAN COURT 102-106,FLAT 35,HOLDEN ROAD,LONDON,LONDON,BARNET,GREATER LONDON,A,A,3
{E3BAB5C8-D3EE-41AC-947B-9A6A2338E184},65995,1995-05-31 00:00,N12 8NU,F,Y,L,"BEATRICE LODGE, 4",FLAT 2,ALEXANDRA GROVE,LONDON,LONDON,BARNET,GREATER LONDON,A,A,2
